Locations Axis	Global	
Values axis	Global	
x(mm)	y(mm)	z(mm)	Value(N_m2)	
150	55	37.5	7831.02	
150	55	40	8075.73	
150	55	42.2049	6302.62	
150	55	45	3860.43	
150	55	47.3176	2698.16	
150	52.0225	50	4897.19	
150	49.8176	50	8177.7	
150	47.5	50	14348	
150	45.1824	50	20969.6	
150	42.5	50	27920.7	
150	39.5225	50	37391.7	
150	37.5	50	44340.4	
150	35.1824	50	52072.3	
150	32.5	50	61095.9	
150	29.8176	50	66938.5	
150	27.5	50	69123.9	
150	25.4775	50	67375.3	
150	22.5	50	62428.4	
150	19.5225	50	52560.6	
150	17.5	50	44844.9	
150	15.1824	50	35912	
150	12.5	50	26331.7	
150	9.70491	50	17904.8	
150	7.5	50	12289	
150	4.81762	50	7108.94	
150	2.5	50	3441	
150	0.590165	50	1493.83	
150	-2.31762	50	405.885	
52.3176	55	0	76497.1	
54.7049	55	0	226547	
56.9662	55	0	381476	
60	55	-7.63685e-007	609863	
62.7951	55	0	844214	
65.4775	55	0	1.09505e+006	
67.5	55	-7.63685e-007	1.28235e+006	
70	55	-7.63685e-007	1.50986e+006	
72.6824	55	0	1.71496e+006	
75.4775	55	0	1.88967e+006	
77.5	55	-7.63685e-007	1.98341e+006	
80.1824	55	0	2.02997e+006	
82.5	55	-7.63685e-007	2.02893e+006	
85.6598	55	0	1.97867e+006	
87.7118	55	0	1.91582e+006	
90.4037	55	0	1.801e+006	
93.4201	55	0	1.65252e+006	
95.4775	55	0	1.5486e+006	
97.8182	55	0	1.42686e+006	
100.196	55	0	1.29952e+006	
102.682	55	0	1.16792e+006	
105.59	55	0	1.0262e+006	
107.697	55	0	925459	
110.196	55	0	811962	
112.682	55	0	702736	
115.295	55	0	599232	
117.851	55	0	503449	
120.477	55	0	418140	
123.568	55	0	326755	
125.955	55	0	265515	
127.5	55	-7.63685e-007	228217	
130.512	55	0	169401	
132.682	55	0	131510	
135.59	55	0	89522.3	
137.682	55	0	63155.4	
140	55	-7.63685e-007	39953.7	
142.5	55	-7.63685e-007	18733.3	
145.477	55	0	2648.05	
147.682	55	0	2831.49	
50	55	1.90983	102494	
50	55	5	250605	
50	55	7.5	342821	
50	55	10	467962	
50	55	12.7951	520886	
50	55	15.4775	606804	
50	55	17.5	623789	
50	55	19.7049	723363	
50	55	22.7951	724675	
50	55	25	795684	
50	55	27.7951	767578	
50	55	29.8391	913189	
50	55	32.6824	886161	
50	55	35.4775	933483	
50	55	37.5	873804	
50	55	40	959204	
50	55	42.5	685748	
50	55	44.4098	569297	
50	55	47.3176	804688	
52.6824	55	50	332257	
55.5338	55	50	1.77444e+006	
57.7951	55	50	3.0821e+006	
60	55	50	4.00942e+006	
62.5	55	50	4.68388e+006	
65	55	50	5.1843e+006	
67.5	55	50	5.52629e+006	
69.8176	55	50	5.69137e+006	
71.4754	55	50	5.70329e+006	
75.1824	55	50	5.58563e+006	
77.7951	55	50	5.35426e+006	
80	55	50	5.10159e+006	
82.5	55	50	4.72637e+006	
85	55	50	4.30647e+006	
87.2049	55	50	3.90742e+006	
89.8176	55	50	3.43043e+006	
92.0225	55	50	3.02903e+006	
95	55	50	2.51949e+006	
97.5	55	50	2.10604e+006	
100	55	50	1.73314e+006	
102.5	55	50	1.40007e+006	
104.705	55	50	1.13428e+006	
107.5	55	50	820184	
109.818	55	50	594019	
112.023	55	50	423354	
115	55	50	229678	
117.682	55	50	94237.1	
120	55	50	41057.8	
122.5	55	50	89786.9	
124.818	55	50	125989	
127.795	55	50	153621	
130	55	50	157551	
132.5	55	50	141541	
135	55	50	119401	
137.682	55	50	90534.6	
140	55	50	64049.9	
142.023	55	50	39939.4	
144.818	55	50	14328.9	
147.5	55	50	2490.37	
50	52.3176	0	196171	
50	50	2.5	671865	
50	50	4.81762	736211	
50	50	7.5	1.3543e+006	
50	50	9.81762	1.44267e+006	
50	50	12.5	2.25518e+006	
50	50	15.1824	2.46779e+006	
50	50	17.5	3.46249e+006	
50	50	19.7049	3.31647e+006	
50	50	22.5	4.44893e+006	
50	50	25	4.40115e+006	
50	50	27.6691	5.90739e+006	
50	50	29.8176	5.336e+006	
50	50	32.5	6.70144e+006	
50	50	35.1824	6.46027e+006	
50	50	37.5	8.22156e+006	
50	50	40	7.34399e+006	
50	50	42.6824	9.18371e+006	
50	50	45.1824	8.62637e+006	
50	50	47.5	1.01984e+007	
50	52.3176	50	1.96721e+006	
2.31763	50	0	647247	
5	50	-7.63685e-007	486815	
7.20492	50	0	454153	
10.1824	50	0	453315	
12.7736	50	0	468398	
14.8176	50	0	485246	
17.3176	50	0	502879	
20	50	-7.63685e-007	541187	
22.5	50	-7.63685e-007	568874	
24.7049	50	0	595905	
26.9098	50	0	622548	
30	50	-7.63685e-007	661264	
32.5	50	-7.63685e-007	692191	
34.5225	50	0	714295	
37.5	50	-7.63685e-007	743857	
40	50	-7.63685e-007	741714	
42.2049	50	0	739085	
45	50	-7.63685e-007	693639	
47.5	50	-7.63685e-007	625357	
0	50	1.90983	1.03311e+006	
3.05101e-006	50	5	871903	
3.05101e-006	50	7.5	1.30445e+006	
3.05101e-006	50	10	1.84576e+006	
3.05101e-006	50	12.5	2.58265e+006	
3.05101e-006	50	15	3.16217e+006	
3.05101e-006	50	17.5	3.96217e+006	
3.05101e-006	50	20	4.22263e+006	
3.05101e-006	50	22.5	5.18025e+006	
0	50	25.1824	5.61363e+006	
3.05101e-006	50	27.5	6.45405e+006	
3.05101e-006	50	30	6.43893e+006	
3.05101e-006	50	32.5	7.53203e+006	
0	50	35.2951	7.93807e+006	
3.05101e-006	50	37.5	8.93382e+006	
3.05101e-006	50	40	8.5245e+006	
3.05101e-006	50	42.5	9.33528e+006	
3.05101e-006	50	45	1.04416e+007	
3.05101e-006	50	47.5	1.06126e+007	
2.5	50	50	1.01582e+007	
5.29509	50	50	8.26833e+006	
7.5	50	50	7.87961e+006	
10	50	50	7.61133e+006	
12.5	50	50	7.4663e+006	
15.4775	50	50	7.31435e+006	
